PLAYER NAME,TEAM,POS,BYE WEEK
Ja'Marr Chase,CIN,WR,10
Bijan Robinson,ATL,RB,5
Saquon Barkley,PHI,RB,9
Justin Jefferson,MIN,WR,6
Jahmyr Gibbs,DET,RB,8
CeeDee Lamb,DAL,WR,10
Derrick Henry,BAL,RB,7
Nico Collins,HOU,WR,6
Brian Thomas Jr.,JAC,WR,8
Malik Nabers,NYG,WR,14
Puka Nacua,LAR,WR,8
Amon-Ra St. Brown,DET,WR,8
Ashton Jeanty,LV,RB,8
Christian McCaffrey,SF,RB,14
Drake London,ATL,WR,5
Jonathan Taylor,IND,RB,11
A.J. Brown,PHI,WR,9
Josh Jacobs,GB,RB,5
George Kittle,SF,TE,14
Brock Bowers,LV,TE,8
Bucky Irving,TB,RB,9
Ladd McConkey,LAC,WR,12
Kyren Williams,LAR,RB,8
De'Von Achane,MIA,RB,12
Josh Allen,BUF,QB,7
Chase Brown,CIN,RB,10
Lamar Jackson,BAL,QB,7
Mike Evans,TB,WR,9
Tee Higgins,CIN,WR,10
Trey McBride,ARI,TE,8
Jayden Daniels,WAS,QB,12
James Cook,BUF,RB,7
Jaxon Smith-Njigba,SEA,WR,8
Tyreek Hill,MIA,WR,12
Omarion Hampton,LAC,RB,12
Davante Adams,LAR,WR,8
Jalen Hurts,PHI,QB,9
Marvin Harrison Jr.,ARI,WR,8
Terry McLaurin,WAS,WR,12
Kenneth Walker III,SEA,RB,8
Garrett Wilson,NYJ,WR,9
Chuba Hubbard,CAR,RB,14
DK Metcalf,PIT,WR,5
TreVeyon Henderson,NE,RB,14
Courtland Sutton,DEN,WR,12
Jameson Williams,DET,WR,8
Joe Burrow,CIN,QB,10
James Conner,ARI,RB,8
Breece Hall,NYJ,RB,9
Alvin Kamara,NO,RB,11
Xavier Worthy,KC,WR,10
Tetairoa McMillan,CAR,WR,14
Calvin Ridley,TEN,WR,10
DJ Moore,CHI,WR,5
George Pickens,DAL,WR,10
Tony Pollard,TEN,RB,10
D'Andre Swift,CHI,RB,5
DeVonta Smith,PHI,WR,9
David Montgomery,DET,RB,8
RJ Harvey,DEN,RB,12
Sam LaPorta,DET,TE,8
Zay Flowers,BAL,WR,7
Isiah Pacheco,KC,RB,10
Patrick Mahomes II,KC,QB,10
Jaylen Waddle,MIA,WR,12
Aaron Jones Sr.,MIN,RB,6
Baker Mayfield,TB,QB,9
Mark Andrews,BAL,TE,7
Bo Nix,DEN,QB,12
Travis Hunter,JAC,WR,8
Kaleb Johnson,PIT,RB,5
Ricky Pearsall,SF,WR,14
Tyrone Tracy Jr.,NYG,RB,14
T.J. Hockenson,MIN,TE,6
Rome Odunze,CHI,WR,5
Emeka Egbuka,TB,WR,9
Kyler Murray,ARI,QB,8
Jordan Mason,MIN,RB,6
Dak Prescott,DAL,QB,10
