row,col,full_name,first,last,team,pos,bye,is_dst,match_score,use_match,source_last,conf_last,raw_ocr_pos,raw_color_pos,raw_ocr_bye,raw_ocr_last,raw_ocr_team,raw_ocr_first
0,0,JA'MARR CHASE,JA'MARR,CHASE,CIN,WR,10,False,145.0,True,csv,145.0,,WR,,~ CHASE ioe,CIN,'Miarr
0,1,BIJAN ROBINSON,BIJAN,ROBINSON,ATL,RB,5,False,145.0,True,csv,145.0,,RB,,~ ROBINSON |,ATL,Bian
0,2,SAQUON BARKLEY,SAQUON,BARKLEY,PHI,RB,9,False,75.0,True,csv,75.0,,RB,,ne CiRRec BYE,DET,hmv
0,3,CHRISTIAN MCCAFFREY,CHRISTIAN,MCCAFFREY,SF,RB,14,False,89.44444444444444,True,csv,89.44444444444444,,RB,,w RARKIEY,PH,quon
0,4,JUSTIN JEFFERSON,JUSTIN,JEFFERSON,MIN,WR,6,False,145.0,True,csv,145.0,,WR,,~ JEFFERSON |,MIN,uSstIN
0,5,RJ HARVEY,RJ,HARVEY,DEN,RB,12,False,78.33333333333334,True,csv,78.33333333333334,,RB,,~ MCCAFFREY,),tian
0,6,MALIK NABERS,MALIK,NABERS,NYG,WR,14,False,82.5,True,csv,82.5,,WR,,vR er sora,DET,
0,7,CEEDEE LAMB,CEEDEE,LAMB,DAL,WR,10,False,145.0,True,csv,145.0,,WR,,ja! LAMB OVE it,DAL,Jee
0,8,JAKOBI MEYERS,JAKOBI,MEYERS,LV,WR,8,False,91.66666666666666,True,csv,91.66666666666666,,WR,,me NARERS,NYG,lalik
0,9,DERRICK HENRY,DERRICK,HENRY,BAL,RB,7,False,133.88888888888889,True,csv,133.88888888888889,,RB,,"""  eNRy",BAL,rick
1,0,JONATHAN TAYLOR,JONATHAN,TAYLOR,IND,RB,11,False,120.0,True,csv,120.0,R,,,~ TAYLOR,FD,aay
1,1,DE'VON ACHANE,DE'VON,ACHANE,MIA,RB,12,False,98.33333333333334,True,csv,98.33333333333334,,RB,,me arwanr,- Wie,eVan
1,2,BUCKY IRVING,BUCKY,IRVING,TB,RB,9,False,92.05882352941177,True,csv,92.05882352941177,,RB,,""" IRVIAICS eM",TB,Bucky
1,3,KYREN WILLIAMS,KYREN,WILLIAMS,LAR,RB,8,False,80.29411764705883,True,csv,80.29411764705883,,RB,,i lacnrRe,GB,Josh
1,4,DRAKE LONDON,DRAKE,LONDON,ATL,WR,5,False,145.0,True,csv,145.0,,WR,,UV LONDON _ ‘,| ATL,rake
1,5,NICO COLLINS,NICO,COLLINS,HOU,WR,6,False,145.0,True,csv,145.0,,WR,,” COLLINS,HOU,ico
1,6,RACHAAD WHITE,RACHAAD,WHITE,TB,RB,9,False,97.72727272727272,True,csv,97.72727272727272,SS,RB,,” WITAME,LAR,yren
1,7,CHASE BROWN,CHASE,BROWN,CIN,RB,10,False,135.0,True,csv,135.0,,RB,,3 BROWN,CIN,
1,8,PUKA NACUA,PUKA,NACUA,LAR,WR,8,False,145.0,True,csv,145.0,,WR,,“— NACUA oa,LAR «°,uka
1,9,MICHAEL CARTER,MICHAEL,CARTER,ARI,RB,8,False,86.53846153846155,True,csv,86.53846153846155,,RB,,ee r at &,LV,won
2,0,AMON-RA ST. BROWN,AMON-RA,ST. BROWN,DET,WR,8,False,145.0,True,csv,145.0,,WR,,BROWN |,rhCOU,ALJ.
2,1,BRIAN THOMAS JR.,BRIAN,THOMAS JR.,JAC,WR,8,False,110.0,True,csv,110.0,,,,"""THOMAS Ey",JAC |,Brian
2,2,BROCK BOWERS,BROCK,BOWERS,LV,TE,8,False,120.0,True,csv,120.0,,,,BOWERS _,LV,on
