row,col,full_name,first,last,team,pos,bye,match_score,raw_ocr_last,raw_ocr_team,raw_ocr_pos,raw_color_pos,raw_ocr_bye,raw_ocr_first
0,2,SAQUON BARKLEY,SAQUON,BARKLEY,PHI,RB,9,75.0,ne CiRRec BYE,DET,,RB,,hmv
0,5,RJ HARVEY,RJ,HARVEY,DEN,RB,12,78.33333333333334,~ MCCAFFREY,),,RB,,tian
2,5,JUSTICE HILL,JUSTICE,HILL,BAL,RB,7,69.44444444444444,", OYcil",NO,,RB,,vin
2,9,DRAKE MAYE,DRAKE,MAYE,NE,QB,14,69.44444444444444,ad uy,BUF,,QB,,
3,0,DAVANTE ADAMS,DAVANTE,ADAMS,LAR,WR,8,57.5,bleed i- Ads,Pt,,,,‘ 9 .
4,0,JALEN HURTS,JALEN,HURTS,PHI,QB,9,64.44444444444444,~ BU ~*s,|,,,,°
4,4,jante,jante,,LAR,WR,,0.0,,LAR,,WR,,jante
4,7,-,-,,,TE,,0.0,,D>) a,,TE,,-
4,9,ANDREI IOSIVAS,ANDREI,IOSIVAS,CIN,WR,10,75.0,vgs Ss ON,_UDEN,W,WR,,land
5,8,ef,ef,,OE,RB,,0.0,,Oe,,RB,,ef
6,8,_,_,,FE,RB,,0.0,,Fe,,RB,,_
6,9,yien,yien,,,WR,,0.0,,CVEEFN,W,WR,,yien
7,3,=e UTS Saw,=e UTS Saw,,—,WR,,0.0,,—,WR,WR,,=e UTS Saw
8,0,DALLAS GOEDERT,DALLAS,GOEDERT,PHI,TE,9,67.5,"Ge) , ee pen",,TE,TE,,
8,7,a,a,,",",RB,,0.0,,",",,RB,,a
8,9,RASHID SHAHEED,RASHID,SHAHEED,NO,WR,11,76.15384615384616,: HU ash. |,“_,,WR,,Avis
9,2,,,,,TE,1,0.0,,—— see,TE,TE,1,
10,0,,,,7,,,0.0,,7,,,,
10,3,JACORY CROSKEY-MERRITT,JACORY,CROSKEY-MERRITT,WAS,RB,12,72.27272727272727,Ce inick,eee,RB,RB,,
10,4,RHAMONDRE STEVENSON,RHAMONDRE,STEVENSON,NE,RB,14,70.0,NE NOON,=,RB,,,
10,5,JAVON BAKER,JAVON,BAKER,PHI,WR,9,75.0,ae) REED :,,WR,WR,,yp wwere sg
11,0,THEO WEASE JR.,THEO,WEASE JR.,MIA,WR,12,57.142857142857146,ase a ane,(Be rrr,,,,BT
11,3,TREVOR LAWRENCE,TREVOR,LAWRENCE,JAC,QB,8,62.857142857142854,ARP ey,————_ ~~ +:,QB,,8,wr co
11,6,JAYLEN WRIGHT,JAYLEN,WRIGHT,MIA,RB,12,79.54545454545455,WHITE ©,ne,,RB,,—
11,7,—_—,—_—,,—,RB,,0.0,,—,,RB,,—_—
11,8,TREY BENSON,TREY,BENSON,ARI,RB,8,77.85714285714286,owt earn,eS,RB,RB,6,ee «
11,9,RAY DAVIS,RAY,DAVIS,BUF,RB,7,63.57142857142857,_é vo,,,RB,,
12,0,AUSTIN EKELER,AUSTIN,EKELER,WAS,RB,12,56.36363636363637,Se ve,2,,,6,~
12,2,JALEN COKER,JALEN,COKER,CAR,WR,14,75.0,RE Kenn,4,WR,WR,7,
12,3,GREEN BAY PACKERS,,GREEN BAY PACKERS,GB,DST,5,68.47826086956522,err ee,ry,,DST,,
12,4,DANIEL JONES,DANIEL,JONES,IND,QB,11,65.0,NE pa,5,QB,QB,14,NSS
12,9,TUA TAGOVAILOA,TUA,TAGOVAILOA,MIA,QB,12,62.857142857142854,‘A | oo,staat CURR,RB,,,ae
13,1,BRANDON AIYUK,BRANDON,AIYUK,SF,WR,14,74.54545454545455,KY AID,oe,,,,A GEE CESS S
13,4,JASON MYERS,JASON,MYERS,SEA,K,8,61.36363636363637,err ~ ee,—] a |,K,K,5,"a,"
13,5,—-._|,—-._|,,,DST,4,0.0,,panned,DST,DST,4,—-._|
13,8,STERLING SHEPARD,STERLING,SHEPARD,TB,WR,9,50.0,5 FAV AS EAD [Ch],ee,WR,,,a
13,9,NEW YORK JETS,,NEW YORK JETS,NYJ,DST,9,68.47826086956522,- eet tb ORF,are <a,DST,DST,5,a... 7
14,2,KA'IMI FAIRBAIRN,KA'IMI,FAIRBAIRN,HOU,K,6,75.0,rar Cam,,K,K,8,
14,3,DANIEL CARLSON,DANIEL,CARLSON,LV,K,8,72.61904761904762,KC i Harriso n,SB oan,,K,0,PVE «ae _
14,4,TRENT SHERFIELD SR.,TRENT,SHERFIELD SR.,DEN,WR,12,72.05882352941177,cP AHEED,,WR,WR,,vee CES
14,5,KYLE PITTS SR.,KYLE,PITTS SR.,ATL,TE,5,71.66666666666666,_ PATS |,a,TE,,,D> Al -)
14,7,—,—,,,TE,5,0.0,,FF eee,TE,,5,—
14,8,BHAYSHUL TUTEN,BHAYSHUL,TUTEN,JAC,RB,8,62.857142857142854,| PAB TUN n,,WR,,14,"a,"
14,9,JEROME FORD,JEROME,FORD,CLE,RB,9,53.33333333333333,. rv oo on,a e,WR,,,a
15,0,ROMEO DOUBS,ROMEO,DOUBS,GB,WR,5,48.57142857142857,OU eel Ce,> an,,,,
15,1,CAIRO SANTOS,CAIRO,SANTOS,CHI,K,5,71.15384615384616,- a L TAs},wit ¥,,K,,IF OO
15,2,,,,FG,DST,9,0.0,,fg,ST,DST,9,
15,3,,,,“RT,WR,,0.0,,“rT,BE,WR,,
15,4,",_",",_",,=,TE,14,0.0,,=,TE,TE,14,",_"
15,5,J.J. MCCARTHY,J.J.,MCCARTHY,MIN,QB,6,63.8235294117647,an VARTHY ©,—,QB,,,sl
15,7,SEATTLE SEAHAWKS,,SEATTLE SEAHAWKS,SEA,DST,8,50.16129032258065,T Ve) Ahavehuail,De,,,,"——,"
15,8,MATT PRATER,MATT,PRATER,FA,K,0,61.53846153846154,Jr irae,_,,,,_ —_—
15,9,4],4],,,K,,0.0,,seeeten,K,,,4]
