row,col,full_name,first,last,team,pos,bye,is_dst,match_score,use_match,source_last,conf_last,raw_ocr_pos,raw_color_pos,raw_ocr_bye,raw_ocr_last,raw_ocr_team,raw_ocr_first
0,0,JA'MARR CHASE,JA'MARR,CHASE,CIN,WR,10,False,80.45454545454545,True,csv,80.45454545454545,S,WR,,er CHASE,a CUN,viatr
0,1,BIJAN ROBINSON,BIJAN,ROBINSON,ATL,RB,5,False,75.0,True,csv,75.0,,RB,,BE ROBINSON,q ashe,
0,2,SAQUON BARKLEY,SAQUON,BARKLEY,PHI,RB,9,False,46.02272727272727,True,csv,46.02272727272727,,RB,,“ eens,gluay .,Hhinyt ARS
0,3,SAQUON BARKLEY,SAQUON,BARKLEY,PHI,RB,9,False,53.19622791422688,True,csv,53.19622791422688,,RB,,AREES,{=,
0,4,JUSTIN JEFFERSON,JUSTIN,JEFFERSON,MIN,WR,6,False,70.35465097428971,True,csv,70.35465097428971,,WR,,PUEFFERSON,SEA,TLE
0,5,CHRISTIAN MCCAFFREY,CHRISTIAN,MCCAFFREY,SF,RB,14,False,100.0,True,csv,100.0,,,,,,
0,6,AMON-RA ST. BROWN,AMON-RA,ST. BROWN,DET,WR,8,False,72.56711979015552,True,csv,72.56711979015552,WR,WR,,STBROWN,WR,AMONRA
0,7,MALIK NABERS,MALIK,NABERS,NYG,WR,14,False,52.348081391669496,True,csv,52.348081391669496,,WR,,ee VAVBES,"| btn,",
0,8,BRIAN THOMAS JR.,BRIAN,THOMAS JR.,JAC,WR,8,False,52.08333333333333,True,csv,52.08333333333333,,WR,,NABERS,DEN,MBE
0,9,DERRICK HENRY,DERRICK,HENRY,BAL,RB,7,False,100.0,True,csv,100.0,,,,,,
1,0,JONATHAN TAYLOR,JONATHAN,TAYLOR,IND,RB,11,False,100.0,True,csv,100.0,,,,,,
1,1,DE'VON ACHANE,DE'VON,ACHANE,MIA,RB,12,False,100.0,True,csv,100.0,,,,,,
1,2,BUCKY IRVING,BUCKY,IRVING,TB,RB,9,False,100.0,True,csv,100.0,,,,,,
1,3,JOSH JACOBS,JOSH,JACOBS,GB,RB,5,False,57.31933165525739,True,csv,57.31933165525739,,RB,,aa a,£iGB,Josh ae
1,4,DRAKE LONDON,DRAKE,LONDON,ATL,WR,5,False,77.20010882570955,True,csv,77.20010882570955,,WR,,LONDON,WRI,TATLY
1,5,NICO COLLINS,NICO,COLLINS,HOU,WR,6,False,55.878738672468145,True,csv,55.878738672468145,,WR,,Be COLLINS,TS,
1,6,KYLE WILLIAMS,KYLE,WILLIAMS,NE,WR,14,False,100.0,True,csv,100.0,,,,,,
1,7,CHASE BROWN,CHASE,BROWN,CIN,RB,10,False,60.368744432643815,True,csv,60.368744432643815,,RB,,ae BROWN (rm,a.,aS¢ Aare
1,8,PUKA NACUA,PUKA,NACUA,LAR,WR,8,False,73.98602414599335,True,csv,73.98602414599335,,WR,,2 NACUA I,b dae ad,|
1,9,ASHTON JEANTY,ASHTON,JEANTY,LV,RB,8,False,100.0,True,csv,100.0,,,,,,
2,0,A.J. BROWN,A.J.,BROWN,PHI,WR,9,False,66.14915958606444,True,csv,66.14915958606444,,WR,,BROWN,1H,PEIEROY
2,1,BRIAN THOMAS JR.,BRIAN,THOMAS JR.,JAC,WR,8,False,49.28658010863303,True,csv,49.28658010863303,,,,THOMASUR,AWA,BRIAN
2,2,BROCK BOWERS,BROCK,BOWERS,LV,TE,8,False,82.09679203978015,True,csv,82.09679203978015,,TE,,BOWERS,},CROCK
2,3,LADD MCCONKEY,LADD,MCCONKEY,LAC,WR,12,False,70.08314078754718,True,csv,70.08314078754718,,WR,,VICCONKEY,|,LES
2,4,KYREN WILLIAMS,KYREN,WILLIAMS,LAR,RB,8,False,49.520990275328444,True,csv,49.520990275328444,,RB,,AT,YE,YE
2,5,DE'VON ACHANE,DE'VON,ACHANE,MIA,RB,12,False,46.21162634750883,True,csv,46.21162634750883,,RB,,ATI,©,OX
2,6,DE'VON ACHANE,DE'VON,ACHANE,MIA,RB,12,False,53.994834659931975,True,csv,53.994834659931975,,RB,,BARAMETO,MEA,ANLON
2,7,KENNETH WALKER III,KENNETH,WALKER III,SEA,RB,8,False,46.706705664732254,True,csv,46.706705664732254,,RB,,A WALKER Ilia 7 .,,Cl ee
2,8,TREY MCBRIDE,TREY,MCBRIDE,ARI,TE,8,False,86.52705038921204,True,csv,86.52705038921204,,TE,,MCBRID,EY,TREY
2,9,JAYDEN DANIELS,JAYDEN,DANIELS,WAS,QB,12,False,50.452537636667984,True,csv,50.452537636667984,,QB,,oe “ SS 2,Rend,peeked
3,0,OMARION HAMPTON,OMARION,HAMPTON,LAC,RB,12,False,46.008070890765275,True,csv,46.008070890765275,,RB,2,—_— At,qiaer -,
3,1,GARRETT WILSON,GARRETT,WILSON,NYJ,WR,9,False,98.95339898386753,True,csv,98.95339898386753,WR,WR,,WILSON,WR,GARRETT
3,2,TREVEYON HENDERSON,TREVEYON,HENDERSON,NE,RB,14,False,63.31634592507534,True,csv,63.31634592507534,RB,RB,,SEANA,RB,REVEYON
3,3,JAYDEN HIGGINS,JAYDEN,HIGGINS,HOU,WR,6,False,61.66666667059175,True,csv,61.66666667059175,,WR,,HIGGINS,JAA,JAA
3,4,BREECE HALL,BREECE,HALL,NYJ,RB,9,False,100.0,True,csv,100.0,,,,,,
3,5,JAXON SMITH-NJIGBA,JAXON,SMITH-NJIGBA,SEA,WR,8,False,81.2181102646613,True,csv,81.2181102646613,,WR,,SISMITHENJIGBAYS,WAY,JAXON
3,6,MARVIN HARRISON JR.,MARVIN,HARRISON JR.,ARI,WR,8,False,81.32257127337188,True,csv,81.32257127337188,,WR,,HARRISONYR,WH,MARVIN
3,7,JAYDEN DANIELS,JAYDEN,DANIELS,WAS,QB,12,False,66.85310260959028,True,csv,66.85310260959028,,QB,,DANIE,BAL,
3,8,LAMAR JACKSON,LAMAR,JACKSON,BAL,QB,7,False,61.35735288497649,True,csv,61.35735288497649,,QB,,MPJACKSON,a,ied 5
3,9,MIKE EVANS,MIKE,EVANS,TB,WR,9,False,74.78488458130663,True,csv,74.78488458130663,,WR,,BE EVANS Me,om,So ae |
4,0,JOE BURROW,JOE,BURROW,CIN,QB,10,False,72.14326675627328,True,csv,72.14326675627328,,QB,,ra BURROW me,| oe,Bt ae
4,1,TYREEK HILL,TYREEK,HILL,MIA,WR,12,False,100.0,True,csv,100.0,,,,,,
4,2,DK METCALF,DK,METCALF,PIT,WR,5,False,69.28571428571428,True,csv,69.28571428571428,,WR,,METCALE,_,BYES
4,3,JAMES CONNER,JAMES,CONNER,ARI,RB,8,False,63.48924433381883,True,csv,63.48924433381883,,RB,,CANINE,FE,PACHECO
4,4,DAVANTE ADAMS,DAVANTE,ADAMS,LAR,WR,8,False,63.224688882650995,True,csv,63.224688882650995,,WR,,ADAMS,IND,CAMB
4,5,DRAKE MAYE,DRAKE,MAYE,NE,QB,14,False,51.00149654455615,True,csv,51.00149654455615,,QB,,AYER,ITP,PALES
4,6,BREECE HALL,BREECE,HALL,NYJ,RB,9,False,50.17724254736126,True,csv,50.17724254736126,,RB,,MAYLEN,©,WNAT
4,7,GEORGE KITTLE,GEORGE,KITTLE,SF,TE,14,False,48.333333333353025,True,csv,48.333333333353025,,TE,,ee IT TLE,,rae §
4,8,TERRY MCLAURIN,TERRY,MCLAURIN,WAS,WR,12,False,89.75579281033541,True,csv,89.75579281033541,,WR,,MCLAURIN,WAS,TERRY
4,9,COURTLAND SUTTON,COURTLAND,SUTTON,DEN,WR,12,False,84.87786124275293,True,csv,84.87786124275293,,WR,,SUTTON,BAL,COURTLAND
5,0,ZAY FLOWERS,ZAY,FLOWERS,BAL,WR,7,False,69.56539125919674,True,csv,69.56539125919674,WR,WR,,OVER,WR,CALVIN
5,1,TETAIROA MCMILLAN,TETAIROA,MCMILLAN,CAR,WR,14,False,85.5924874131237,True,csv,85.5924874131237,WR,WR,,MCMILUAN,YF,TETAIROS
5,2,TONY POLLARD,TONY,POLLARD,TEN,RB,10,False,47.65266498859073,True,csv,47.65266498859073,,RB,,in aD,,
5,3,DAVID MONTGOMERY,DAVID,MONTGOMERY,DET,RB,8,False,87.26397464148468,True,csv,87.26397464148468,,RB,,MONTGOMER,5.,DAVID
5,4,DJ MOORE,DJ,MOORE,CHI,WR,5,False,74.28271818719529,True,csv,74.28271818719529,,WR,,MOORE,-,PWAL
5,5,SAM LAPORTA,SAM,LAPORTA,DET,TE,8,False,55.46450198687932,True,csv,55.46450198687932,,TE,,Me UAPORTAGE,f oe,
5,6,GEORGE PICKENS,GEORGE,PICKENS,DAL,WR,10,False,52.60078778754348,True,csv,52.60078778754348,,WR,,- @in@ 3~,re,
5,7,RJ HARVEY,RJ,HARVEY,DEN,RB,12,False,68.63881502380696,True,csv,68.63881502380696,S,RB,,we HARVEY Ae,Wes,the?» ~
5,8,TONY POLLARD,TONY,POLLARD,TEN,RB,10,False,76.69890695696012,True,csv,76.69890695696012,,RB,,POLLARD,SEN,SEN
5,9,CHUBA HUBBARD,CHUBA,HUBBARD,CAR,RB,14,False,61.97367442567546,True,csv,61.97367442567546,,RB,4,BS HUBBARD =m,Rm EE,
6,0,RASHEE RICE,RASHEE,RICE,KC,WR,10,False,57.04347169655235,True,csv,57.04347169655235,,WR,,ae RICE ae,Fas,
6,1,AARON JONES SR.,AARON,JONES SR.,MIN,RB,6,False,79.41420816854634,True,csv,79.41420816854634,,RB,,ONES,1S,ASRONY
6,2,XAVIER WORTHY,XAVIER,WORTHY,KC,WR,10,False,63.5443792177808,True,csv,63.5443792177808,,WR,,WORTHY,CE,CE
6,3,JAYLEN WADDLE,JAYLEN,WADDLE,MIA,WR,12,False,56.19540284743418,True,csv,56.19540284743418,,WR,,dl isa,,leson eam
6,4,PATRICK MAHOMES II,PATRICK,MAHOMES II,KC,QB,10,False,82.6909454299205,True,csv,82.6909454299205,,QB,,AHOMES,FA,PATR
6,5,JAYLEN WADDLE,JAYLEN,WADDLE,MIA,WR,12,False,59.477454129485466,True,csv,59.477454129485466,,WR,,SALINE,CLE,FLOWERS
6,6,BO NIX,BO,NIX,DEN,QB,12,False,100.0,True,csv,100.0,,,,,,
6,7,EMEKA EGBUKA,EMEKA,EGBUKA,TB,WR,9,False,82.05604248023127,True,csv,82.05604248023127,WR,WR,,EGBUKAY,OO,FEVER
6,8,TYRONE TRACY JR.,TYRONE,TRACY JR.,NYG,RB,14,False,100.0,True,csv,100.0,,,,,,
6,9,RICKY PEARSALL,RICKY,PEARSALL,SF,WR,14,False,50.53295001566645,True,csv,50.53295001566645,,WR,,SE WADDLE Sm,,
7,0,STEFON DIGGS,STEFON,DIGGS,NE,WR,14,False,100.0,True,csv,100.0,,,,,,
7,1,BAKER MAYFIELD,BAKER,MAYFIELD,TB,QB,9,False,100.0,True,csv,100.0,,,,,,
7,2,ROME ODUNZE,ROME,ODUNZE,CHI,WR,5,False,77.77722365705627,True,csv,77.77722365705627,,WR,,ODUNZE,},BYES
7,3,CHRIS GODWIN JR.,CHRIS,GODWIN JR.,TB,WR,9,False,59.56749807287196,True,csv,59.56749807287196,,WR,,GODWIN,7,IE
7,4,T.J. HOCKENSON,T.J.,HOCKENSON,MIN,TE,6,False,78.30239132234973,True,csv,78.30239132234973,,TE,,BA HOCKENSON;,,tet Ff
7,5,CHRIS OLAVE,CHRIS,OLAVE,NO,WR,11,False,48.693894095647956,True,csv,48.693894095647956,,WR,,LP,MIA,PEARSALL
7,6,TRAVIS KELCE,TRAVIS,KELCE,KC,TE,10,False,100.0,True,csv,100.0,,,,,,
7,7,DEEBO SAMUEL SR.,DEEBO,SAMUEL SR.,WAS,WR,12,False,52.017394028805654,True,csv,52.017394028805654,,WR,,PICKENS,WAS,GEORGE
7,8,TYRONE TRACY JR.,TYRONE,TRACY JR.,NYG,RB,14,False,51.21955488431726,True,csv,51.21955488431726,,RB,,. J “aC gat pin,fas,pentane &
7,9,CHRIS OLAVE,CHRIS,OLAVE,NO,WR,11,False,73.3395362171695,True,csv,73.3395362171695,,WR,,en OLAVE Me,ee,Uis wee
8,0,TUCKER KRAFT,TUCKER,KRAFT,GB,TE,5,False,100.0,True,csv,100.0,,,,,,
8,1,MATTHEW GOLDEN,MATTHEW,GOLDEN,GB,WR,5,False,70.7329164316623,True,csv,70.7329164316623,,WR,,GOLDEN,,CWWRIE
8,2,DAK PRESCOTT,DAK,PRESCOTT,DAL,QB,10,False,100.0,True,csv,100.0,,,,,,
8,3,MARK ANDREWS,MARK,ANDREWS,BAL,TE,7,False,73.82990390029326,True,csv,73.82990390029326,,TE,,ANDREWS,',MARK
8,4,TRAVIS ETIENNE JR.,TRAVIS,ETIENNE JR.,JAC,RB,8,False,100.0,True,csv,100.0,,,,,,
8,5,J.K. DOBBINS,J.K.,DOBBINS,DEN,RB,12,False,57.32226839834175,True,csv,57.32226839834175,RB,,12,ROBINSONUR,"RB,",AWAS
8,6,ZACH CHARBONNET,ZACH,CHARBONNET,SEA,RB,8,False,78.66444961314349,True,csv,78.66444961314349,,RB,,CHARBONNET,WM.,SCAG
8,7,TRAVIS ETIENNE JR.,TRAVIS,ETIENNE JR.,JAC,RB,8,False,54.77222867670578,True,csv,54.77222867670578,,RB,,TROSKI,RS.,RAITT
8,8,TRAVIS ETIENNE JR.,TRAVIS,ETIENNE JR.,JAC,RB,8,False,49.67797175117954,True,csv,49.67797175117954,,RB,,ee OBE ET,—_—_—_— 3 —_,
8,9,TRAVIS HUNTER,TRAVIS,HUNTER,JAC,WR,8,False,62.6931597724506,True,csv,62.6931597724506,,WR,,SS HUNTER,,1ViS See F
9,0,KHALIL SHAKIR,KHALIL,SHAKIR,BUF,WR,7,False,72.80795904534607,True,csv,72.80795904534607,,WR,,SHAKIR,GB,AY
9,1,JAVONTE WILLIAMS,JAVONTE,WILLIAMS,DAL,RB,10,False,100.0,True,csv,100.0,,,,,,
9,2,TYLER WARREN,TYLER,WARREN,IND,TE,11,False,70.69455485631073,True,csv,70.69455485631073,,TE,,ARREN,,
9,3,JAYDEN REED,JAYDEN,REED,GB,WR,5,False,60.46287191004126,True,csv,60.46287191004126,,WR,,EE,=,COOPER
9,4,DEEBO SAMUEL SR.,DEEBO,SAMUEL SR.,WAS,WR,12,False,56.55339622369926,True,csv,56.55339622369926,,WR,,SAMUENSRM,BAL,OCHO
9,5,CAM SKATTEBO,CAM,SKATTEBO,NYG,RB,14,False,58.55929513975403,True,csv,58.55929513975403,,RB,,SESKATTEBO,[HO,BYES
9,6,RASHOD BATEMAN,RASHOD,BATEMAN,BAL,WR,7,False,52.84106861766205,True,csv,52.84106861766205,,WR,,MORAN,BAL,MICHAEL
9,7,JORDAN ADDISON,JORDAN,ADDISON,MIN,WR,6,False,74.8317187544052,True,csv,74.8317187544052,,WR,,ADDISON,KC,OM
9,8,JAKOBI MEYERS,JAKOBI,MEYERS,LV,WR,8,False,71.01474805833617,True,csv,71.01474805833617,,WR,,MEYERS ae,,
9,9,JERRY JEUDY,JERRY,JEUDY,CLE,WR,9,False,51.311320401715626,True,csv,51.311320401715626,,WR,,[a JEUD Vai,,WF ORT
10,0,QUINSHON JUDKINS,QUINSHON,JUDKINS,CLE,RB,9,False,100.0,True,csv,100.0,,,,,,
10,1,DAVID NJOKU,DAVID,NJOKU,CLE,TE,9,False,47.34185258558331,True,csv,47.34185258558331,,TE,,heme NIOKU Se,@ £Cle},
10,2,ELIJAH MITCHELL,ELIJAH,MITCHELL,KC,RB,10,False,51.000001927296374,True,csv,51.000001927296374,,RB,,IE,KC,JORDAN
10,3,NICK CHUBB,NICK,CHUBB,HOU,RB,6,False,72.79016706840046,True,csv,72.79016706840046,,RB,,CHUBBY,{,NICK
10,4,RHAMONDRE STEVENSON,RHAMONDRE,STEVENSON,NE,RB,14,False,100.0,True,csv,100.0,,,,,,
10,5,KEON COLEMAN,KEON,COLEMAN,BUF,WR,7,False,50.814800950683434,True,csv,50.814800950683434,,WR,,EM,EM?,RG
10,6,CAMERON DICKER,CAMERON,DICKER,LAC,K,12,False,55.00723649697401,True,csv,55.00723649697401,,K,,ae DICKER Mam,,
10,7,JAUAN JENNINGS,JAUAN,JENNINGS,SF,WR,14,False,84.65460006299023,True,csv,84.65460006299023,WR,WR,,RJENNINGS,WR),GA
10,8,BRANDON AUBREY,BRANDON,AUBREY,DAL,K,10,False,55.02603151405399,True,csv,55.02603151405399,,K,,": AUBREY, :",,
10,9,EVAN ENGRAM,EVAN,ENGRAM,DEN,TE,12,False,68.24508299044254,True,csv,68.24508299044254,TE,TE,,EA,HOU,SELINEE
11,0,OLLIE GORDON II,OLLIE,GORDON II,MIA,RB,12,False,100.0,True,csv,100.0,,,,,,
11,1,DENVER BRONCOS,,DENVER BRONCOS,DEN,DST,12,True,72.64501757230641,True,csv,72.64501757230641,,DST,,BRONCOS,DEN,DENVER
11,2,TREY BENSON,TREY,BENSON,ARI,RB,8,False,100.0,True,csv,100.0,,,,,,
11,3,JORDAN LOVE,JORDAN,LOVE,GB,QB,5,False,47.70314193217985,True,csv,47.70314193217985,,QB,,IO,[IO,NY
11,4,BALTIMORE RAVENS,,BALTIMORE RAVENS,BAL,DST,7,True,55.352378678696844,True,csv,55.352378678696844,,DST,,BALTIMORE,QE,RAVENS
11,5,ACAR,,ACAR,|,WR,,False,39.00000001668689,False,ocr,39.00000001668689,,WR,,ACAR,|,
11,6,DALLAS GOEDERT,DALLAS,GOEDERT,PHI,TE,9,False,45.6108089809277,True,csv,45.6108089809277,,,,OGEE,®,RACHSAD
11,7,JAVONTE WILLIAMS,JAVONTE,WILLIAMS,DAL,RB,10,False,100.0,True,csv,100.0,,,,,,
11,8,JA'MARR CHASE,JA'MARR,CHASE,CIN,WR,10,False,100.0,True,csv,100.0,,,,,,
11,9,JA'MARR CHASE,JA'MARR,CHASE,CIN,WR,10,False,100.0,True,csv,100.0,,,,,,
