row,col,full_name,first,last,team,pos,bye,match_score,raw_ocr_last,raw_ocr_team,raw_ocr_pos,raw_color_pos,raw_ocr_bye,raw_ocr_first
0,1,BIJAN ROBINSON,BIJAN,ROBINSON,ATL,RB,5,75.0,BE ROBINSON,q ashe,,RB,,
0,2,SAQUON BARKLEY,SAQUON,BARKLEY,PHI,RB,9,46.02272727272727,“ eens,gluay .,,RB,,Hhinyt ARS
0,3,SAQUON BARKLEY,SAQUON,BARKLEY,PHI,RB,9,53.19622791422688,AREES,{=,,RB,,
0,4,JUSTIN JEFFERSON,JUSTIN,JEFFERSON,MIN,WR,6,70.35465097428971,PUEFFERSON,SEA,,WR,,TLE
0,6,AMON-RA ST. BROWN,AMON-RA,ST. BROWN,DET,WR,8,72.56711979015552,STBROWN,WR,WR,WR,,AMONRA
0,7,MALIK NABERS,MALIK,NABERS,NYG,WR,14,52.348081391669496,ee VAVBES,"| btn,",,WR,,
0,8,BRIAN THOMAS JR.,BRIAN,THOMAS JR.,JAC,WR,8,52.08333333333333,NABERS,DEN,,WR,,MBE
1,3,JOSH JACOBS,JOSH,JACOBS,GB,RB,5,57.31933165525739,aa a,£iGB,,RB,,Josh ae
1,4,DRAKE LONDON,DRAKE,LONDON,ATL,WR,5,77.20010882570955,LONDON,WRI,,WR,,TATLY
1,5,NICO COLLINS,NICO,COLLINS,HOU,WR,6,55.878738672468145,Be COLLINS,TS,,WR,,
1,7,CHASE BROWN,CHASE,BROWN,CIN,RB,10,60.368744432643815,ae BROWN (rm,a.,,RB,,aS¢ Aare
1,8,PUKA NACUA,PUKA,NACUA,LAR,WR,8,73.98602414599335,2 NACUA I,b dae ad,,WR,,|
2,0,A.J. BROWN,A.J.,BROWN,PHI,WR,9,66.14915958606444,BROWN,1H,,WR,,PEIEROY
2,1,BRIAN THOMAS JR.,BRIAN,THOMAS JR.,JAC,WR,8,49.28658010863303,THOMASUR,AWA,,,,BRIAN
2,3,LADD MCCONKEY,LADD,MCCONKEY,LAC,WR,12,70.08314078754718,VICCONKEY,|,,WR,,LES
2,4,KYREN WILLIAMS,KYREN,WILLIAMS,LAR,RB,8,49.520990275328444,AT,YE,,RB,,YE
2,5,DE'VON ACHANE,DE'VON,ACHANE,MIA,RB,12,46.21162634750883,ATI,©,,RB,,OX
2,6,DE'VON ACHANE,DE'VON,ACHANE,MIA,RB,12,53.994834659931975,BARAMETO,MEA,,RB,,ANLON
2,7,KENNETH WALKER III,KENNETH,WALKER III,SEA,RB,8,46.706705664732254,A WALKER Ilia 7 .,,,RB,,Cl ee
2,9,JAYDEN DANIELS,JAYDEN,DANIELS,WAS,QB,12,50.452537636667984,oe “ SS 2,Rend,,QB,,peeked
3,0,OMARION HAMPTON,OMARION,HAMPTON,LAC,RB,12,46.008070890765275,—_— At,qiaer -,,RB,2,
3,2,TREVEYON HENDERSON,TREVEYON,HENDERSON,NE,RB,14,63.31634592507534,SEANA,RB,RB,RB,,REVEYON
3,3,JAYDEN HIGGINS,JAYDEN,HIGGINS,HOU,WR,6,61.66666667059175,HIGGINS,JAA,,WR,,JAA
3,7,JAYDEN DANIELS,JAYDEN,DANIELS,WAS,QB,12,66.85310260959028,DANIE,BAL,,QB,,
3,8,LAMAR JACKSON,LAMAR,JACKSON,BAL,QB,7,61.35735288497649,MPJACKSON,a,,QB,,ied 5
3,9,MIKE EVANS,MIKE,EVANS,TB,WR,9,74.78488458130663,BE EVANS Me,om,,WR,,So ae |
4,0,JOE BURROW,JOE,BURROW,CIN,QB,10,72.14326675627328,ra BURROW me,| oe,,QB,,Bt ae
4,2,DK METCALF,DK,METCALF,PIT,WR,5,69.28571428571428,METCALE,_,,WR,,BYES
4,3,JAMES CONNER,JAMES,CONNER,ARI,RB,8,63.48924433381883,CANINE,FE,,RB,,PACHECO
4,4,DAVANTE ADAMS,DAVANTE,ADAMS,LAR,WR,8,63.224688882650995,ADAMS,IND,,WR,,CAMB
4,5,DRAKE MAYE,DRAKE,MAYE,NE,QB,14,51.00149654455615,AYER,ITP,,QB,,PALES
4,6,BREECE HALL,BREECE,HALL,NYJ,RB,9,50.17724254736126,MAYLEN,©,,RB,,WNAT
